Full Name,Email Address,Stellar Wallet Address,Rating,Product Feedback
Neha Patel,neha.patel542@outlook.com,GJBTRBGVNI6BFLOD6OO6TWIQX7WFOOQ5KD4ZFGSBYFAOEYI24TYWLN3N,4,"Really good MVP, excited to see where this goes."
Vikram Gupta,vikram.gupta811@gmail.com,GKPVTXXK24URZXNUUEDGJ3GC4DRGR7E3C6JSZQFBTYVRKWJUSJBTT3VV,5,"Awesome app. Saved me so much on international transfer fees."
Aditya Kumar,aditya.kumar249@gmail.com,GBGS4JAHLX5R7ZVTQDWLMI3RDROYKRXDLY2GXVJ2UFDDWN2TQRRMA54E,5,"Transaction history takes a second to load sometimes, would be great to speed that up."
Kabir Reddy,kabir.reddy423@gmail.com,G5L74YMQTHEL3PFIXW5GQKIISP4YXXNYGAMBSCPETHEFDCMQGM4GBWUU,5,"Very fast and reliable. Transferred funds in under 30 seconds."
Aarav Yadav,aarav.yadav68@yahoo.in,GTK2USRLRH3BBKPUMITRVXYDYREJ5LTOXJP7JOHHCVVXSXEFP5FUSZUO,5,"Would be great to have an Android app so I can send money on the go."
Rahul Reddy,rahul.reddy818@outlook.com,G4MXJUSMRRWRHRG7E3NOHH75OBSPYZDVZPDDY6SPSMKT2GBDO35ACZ4Y,4,"The zero hidden fee structure is exactly what I was looking for. My bank was charging me 3% per transfer."
Atharv Rao,atharv.rao502@yahoo.in,GP3PZ5UBRMNBDM2YDXCDLOQBCDDOZOHT7KYK56DV375VGGCJCIHOVOI4,5,"Freighter wallet integration was seamless. Took me less than 2 minutes to connect."
Aarohi Patel,aarohi.patel646@yahoo.in,GVMIWHFRHQN76XFY7R75DYBVWKKF25L44RQ7FQCHISMVEWVRLD36Q6WB,5,"Please add more partner universities. My daughter's college isn't listed yet."
Simran Rao,simran.rao747@outlook.com,GBEGAOII3CRX6SQHBOKVDZRNU4OCAFIQXLTQUXMVDGSWC57UVTC3Q3IA,5,"First-time parent here. The dashboard has a lot of information, maybe add a beginner mode?"
Rohan Trivedi,rohan.trivedi440@outlook.com,GLFIRDLOVRAC25MFML6JPBYNK7VE5DBQANUNZSMNL6W4HYX7WDRNW3UV,5,"Can you add email or SMS notifications when the student receives funds? That would help a lot."
Kiara Das,kiara.das421@yahoo.in,G34NZEUUXIYXLLU3F3SQ4M6VGN22QBIGDAN6BBQUDFRGGYCVYKQ65AQ6,4,"The AI budget tool gave my son really practical advice. He's already spending more wisely."
Priya Malhotra,priya.malhotra528@gmail.com,GWH2H2OYW3NNZWM6VXULSQJHZCZIR3RNFQZQHM3FOHQEKNN22MGLT3G2,5,"I loved that I could see exactly where every rupee went. Total transparency."
Rohan Rao,rohan.rao640@yahoo.in,GNK227NBZZP43QICDNHHMK4E5PGVRWW73R6SVVM3YWHK3IHWMZLRZ6QK,5,"I had a small connection issue the first time but after refreshing it worked perfectly."
Shruti Desai,shruti.desai165@gmail.com,GGYDZQAVHHGL5HFXMCKPJ5TGSGYI7FURBN26ECGGCSIDDVPVDBWKLUO7,5,"The student spending breakdown is a feature I didn't know I needed. Amazing idea."
Sneha Trivedi,sneha.trivedi160@yahoo.in,GECRU6VL4YQWIZDPNAX3QGMY5455RJDPYJJXJIT3FU2JDU45LD4NY7IO,4,"Would love a dark mode for the dashboard. Using it at night is a bit bright."
Aarohi Bose,aarohi.bose727@outlook.com,GVRYYN7CHPHFDWFF7IKGY2M4HGXGIWET6PWRPB32QRVOCOPUQDLIBRD7,5,"Compared to SWIFT transfers this is incredibly cheap. 10x better experience."
Ayaan Reddy,ayaan.reddy670@outlook.com,GNM7XS3MVIUELAHHXX6JQDAFHFQR3VHX7PT6YBF5CEUCQSB6DEOMKJCT,4,"Works great on desktop. Hoping for a mobile-friendly version soon."
Arjun Gupta,arjun.gupta792@outlook.com,GN4VDMB2SJ2N5XJSSC4LTPA7LSO7IUCJ64JJB6OSI52KWEJOPEYRYKWY,5,"I was skeptical about blockchain at first but this made it so easy to understand."
Varun Kumar,varun.kumar299@yahoo.in,GLNQT7MS5ED7GZ2SGEKM5UJ3C6ZP6ICAFPUMX2544XJVTCLB3WG2HVHY,5,"Please add a feature to schedule recurring monthly payments. That would save me a lot of time."
Ananya Kumar,ananya.kumar817@outlook.com,GNU36ASU5Y4SGDFMAO6JGJWCGMOYO4GIKVX5E22K7KWMPY65UDGEIAMO,4,"Wallet setup was a bit confusing at first. Maybe add a short tutorial video on the setup page?"
Priya Verma,priya.verma354@outlook.com,G4GL2UIM26U5EFFHLBWGETBEF67LTBHVSJ3BFBNQVNAEJWU7GB6CWL7I,5,"The Gemini AI expense analysis is genuinely insightful. My child can understand their spending now."
Sai Iyer,sai.iyer784@outlook.com,GER2S4SYXEI5I3H6U35E4FUJX2FNFOGEVGQHMYTUJEHSIKR5CYSO7UYA,5,"Please add a downloadable PDF receipt for every tuition payment for tax purposes."
Aarav Singh,aarav.singh947@yahoo.in,GXPRQVYZC4GBFZY6V4IEWRN7KJLNOAQ3CE6KOEJDDYVLTJWW77NKHTQP,5,"The on-chain record-keeping gives me complete peace of mind. No disputes possible."
Meera Verma,meera.verma688@yahoo.in,GY2X2DR4Y5XNLE3ZNRNSA5345QM2J2426VGPEL5YCGTGFFQ53YJA23MP,5,"I compared this with three other apps and EduRemit was the easiest to use by far."
Kriti Malhotra,kriti.malhotra87@outlook.com,GGWSAIH46MBRDHQJLMTPMHUWNZ75JBTHQG3KHKXDRD6JNZRYOUIIGSYK,4,"Support for multi-currency would make this even more useful for NRI parents."
